House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
5,Willis Lane,Jonathan,Field,11,Son,NA,Male,Student,None,NA
6,Willis Lane,Howard,Brown,37,Head,Divorced,Male,Electrical engineer,None,None
7,Willis Lane,Craig,Armstrong,58,Head,Single,Male,"Engineer, control and instrumentation",None,Christian
7,Willis Lane,Leonard,Williams,51,None,Single,Male,Chartered loss adjuster,None,Christian
7,Willis Lane,Valerie,Ford,39,None,Single,Female,Wellsite geologist,None,Christian
7,Willis Lane,Annette,Rogers,42,None,Single,Female,"Buyer, industrial",None,None
7,Willis Lane,Elaine,Steele,56,None,Single,Female,Chemical engineer,None,Christian
8,Willis Lane,Jack,Barnett,45,Head,Single,Male,"Engineer, automotive",None,Christian
8,Willis Lane,Samantha,Chapman,45,Partner,Single,Female,"Surveyor, quantity",None,Christian
9,Willis Lane,Jodie,Bailey,29,Head,Single,Female,Magazine journalist,None,None
9,Willis Lane,Katy,Cole,60,None,Single,Female,Immigration officer,None,Catholic
9,Willis Lane,Denis,Wells,34,None,Single,Male,Unemployed,None,None
9,Willis Lane,Graham,Jones,35,None,Single,Male,Financial manager,None,None
9,Willis Lane,Jeffrey,Wheeler,28,None,Single,Male,Academic librarian,None,None
10,Willis Lane,Mary,Hale,39,Head,Single,Female,"Scientist, audiological",None,None
10,Willis Lane,Barry,Hale,13,Son,NA,Male,Student,None,NA
10,Willis Lane,Elliot,Hale,11,Son,NA,Male,Student,None,NA
11,Willis Lane,Steven,Sanders,60,Head,Married,Male,Community education officer,None,Methodist
11,Willis Lane,Joan,Sanders,54,Wife,Married,Female,Advertising copywriter,None,Methodist
12,Willis Lane,Matthew,Gray,42,Head,Married,Male,Research scientist (life sciences),None,Christian
12,Willis Lane,Tracey,Gray,39,Wife,Married,Female,Lobbyist,None,Christian
13,Willis Lane,Lucy,Martin,47,Head,Divorced,Female,Unemployed,None,None
13,Willis Lane,Kieran,Martin,9,Son,NA,Male,Student,None,NA
14,Willis Lane,Diane,Moore,40,Head,Married,Female,"Designer, multimedia",None,Methodist
14,Willis Lane,Glen,Moore,41,Husband,Married,Male,Animal nutritionist,None,Methodist
14,Willis Lane,Sam,Moore,16,Son,NA,Male,Student,None,NA
14,Willis Lane,Angela,Moore,15,Daughter,NA,Female,Student,None,NA
15,Willis Lane,Rosie,Alexander,40,Head,Single,Female,Unemployed,None,Sikh
15,Willis Lane,James,Wallace,41,Partner,Single,Male,Charity officer,None,Sikh
16,Willis Lane,Claire,Lewis,54,Head,Single,Female,Physiological scientist,None,Christian
1,Railway Crescent,Rachel,Herbert,34,Head,Divorced,Female,Licensed conveyancer,None,Muslim
1,Railway Crescent,Molly,Herbert,3,Daughter,NA,Female,Child,None,NA
1,Railway Crescent,Abdul,Stevens,49,Lodger,Single,Male,Camera operator,None,Methodist
2,Railway Crescent,Abdul,Walker,73,Head,Widowed,Male,"Retired Engineer, manufacturing systems",None,Christian
3,Railway Crescent,Christine,Franklin,45,Head,Married,Female,Medical illustrator,None,None
3,Railway Crescent,Ashley,Franklin,52,Husband,Married,Male,"Research officer, political party",None,None
3,Railway Crescent,Sean,Smith,3,Grandson,NA,Male,Child,None,NA
4,Railway Crescent,Barry,Moore,77,Head,Widowed,Male,Retired Agricultural engineer,None,Christian
5,Railway Crescent,Keith,Price,24,Head,Single,Male,Theatre stage manager,None,Christian
1,Sutton Crescent,Julia,Shaw,47,Head,Single,Female,Geophysicist/field seismologist,None,None
1,Sutton Crescent,Zoe,Evans,46,None,Single,Female,Hospital pharmacist,None,Methodist
1,Sutton Crescent,Duncan,Parker,35,None,Single,Male,"Development worker, international aid",None,None
1,Sutton Crescent,Gregory,Bradley,34,None,Single,Male,"Designer, multimedia",None,None
1,Sutton Crescent,Charlene,Williams,51,None,Single,Female,Barrister,None,Muslim
1,Sutton Crescent,Frank,Wright,42,None,Single,Male,Retail manager,None,Christian
1,Sutton Crescent,Rebecca,Robinson,46,None,Single,Female,Fitness centre manager,None,Christian
2,Sutton Crescent,Lauren,Simpson,54,Head,Married,Female,"Psychologist, forensic",None,Christian
2,Sutton Crescent,Marc,Simpson,56,Husband,Married,Male,Firefighter,None,Christian
2,Sutton Crescent,Louis,Simpson,20,Son,Single,Male,University Student,None,None
2,Sutton Crescent,Frank,Simpson,16,Son,NA,Male,Student,None,NA
2,Sutton Crescent,Hugh,Simpson,10,Son,NA,Male,Student,None,NA
3,Sutton Crescent,Geraldine,Green,49,Head,Divorced,Female,Unemployed,None,None
3,Sutton Crescent,Dale,Green,18,Son,Divorced,Male,Student,None,None
3,Sutton Crescent,Sara,Green,15,Daughter,NA,Female,Student,None,NA
3,Sutton Crescent,Hollie,Green,14,Daughter,NA,Female,Student,None,NA
3,Sutton Crescent,Jacqueline,Green,11,Daughter,NA,Female,Student,None,NA
3,Sutton Crescent,Julia,Green,7,Daughter,NA,Female,Student,None,NA
3,Sutton Crescent,Brett,Green,4,Son,NA,Male,Child,None,NA
3,Sutton Crescent,Stacey,Green,2,Daughter,NA,Female,Child,None,NA
3,Sutton Crescent,Sandra,Green,0,Daughter,NA,Female,Child,None,NA
3,Sutton Crescent,Valerie,Young,55,Lodger,Single,Female,Ergonomist,None,Muslim
3,Sutton Crescent,Allan,Allen,44,Lodger,Single,Male,"Designer, ceramics/pottery",None,Christian
3,Sutton Crescent,Leah,Connor,60,Lodger,Single,Female,Facilities manager,None,Catholic
3,Sutton Crescent,Gail,Robinson,22,Lodger,Single,Female,University Student,None,None
3,Sutton Crescent,Tony,Hilton,32,Lodger,Single,Male,Agricultural engineer,None,None
3,Sutton Crescent,Stuart,Dunn,29,Lodger,Single,Male,"Radiographer, diagnostic",None,None
3,Sutton Crescent,William,Phillips,55,Lodger,Single,Male,Dietitian,None,Christian
3,Sutton Crescent,Sandra,Winter,64,Visitor,Widowed,Female,Company secretary,None,Christian
4,Sutton Crescent,Christian,Chandler,20,Head,Single,Male,University Student,None,Catholic
4,Sutton Crescent,Dean,Fletcher,20,None,Single,Male,University Student,None,Christian
4,Sutton Crescent,Megan,O'Connor,26,None,Single,Female,PhD Student,None,Christian
4,Sutton Crescent,Justin,Wyatt,28,None,Single,Male,PhD Student,None,None
4,Sutton Crescent,Paul,Taylor,26,None,Single,Male,PhD Student,None,Christian
5,Sutton Crescent,Katherine,Welch,42,Head,Single,Female,Unemployed,None,None
5,Sutton Crescent,Donald,Welch,8,Son,NA,Male,Student,None,NA
5,Sutton Crescent,Stanley,Welch,5,Son,NA,Male,Student,None,NA
5,Sutton Crescent,Shane,Welch,3,Son,NA,Male,Child,None,NA
5,Sutton Crescent,Kayleigh,Johnson,20,Lodger,Single,Female,University Student,None,Muslim
5,Sutton Crescent,Dorothy,Owen,25,Lodger,Single,Female,Company secretary,None,None
5,Sutton Crescent,Mitchell,Simpson,63,Lodger,Single,Male,Chief Marketing Officer,None,Catholic
5,Sutton Crescent,Benjamin,Johnson,27,Lodger,Single,Male,Theme park manager,None,None
5,Sutton Crescent,Christian,Smith,23,Lodger,Single,Male,Purchasing manager,None,None
5,Sutton Crescent,Jeremy,Sutton,41,Lodger,Single,Male,Energy manager,None,Catholic
6,Sutton Crescent,Frances,Dennis,50,Head,Single,Female,Amenity horticulturist,None,None
6,Sutton Crescent,Alan,Clark,48,Partner,Single,Male,Cytogeneticist,None,None
6,Sutton Crescent,Mandy,Dennis,16,Daughter,NA,Female,Student,None,NA
6,Sutton Crescent,Amanda,Dennis,12,Daughter,NA,Female,Student,None,NA
6,Sutton Crescent,Sandra,Dennis,11,Daughter,NA,Female,Student,None,NA
6,Sutton Crescent,Mary,Dennis,11,Adopted Daughter,NA,Female,Student,None,NA
6,Sutton Crescent,Kerry,Dennis,11,Daughter,NA,Female,Student,None,NA
6,Sutton Crescent,Dean,Dennis,10,Son,NA,Male,Student,None,NA
6,Sutton Crescent,Francis,Dennis,8,Son,NA,Male,Student,None,NA
6,Sutton Crescent,Graeme,Dennis,5,Son,NA,Male,Student,None,NA
6,Sutton Crescent,Laura,Dennis,4,Daughter,NA,Female,Child,None,NA
6,Sutton Crescent,Tina,Dennis,2,Daughter,NA,Female,Child,None,NA
1,Corporation Drive,Ruth,Brooks,55,Head,Single,Female,Seismic interpreter,None,Christian
2,Corporation Drive,Wendy,Chapman,25,Head,Married,Female,Microbiologist,None,Methodist
2,Corporation Drive,Scott,Chapman,27,Husband,Married,Male,Museum/gallery conservator,None,Methodist
3,Corporation Drive,Diana,James,37,Head,Married,Female,Farm manager,None,Catholic
3,Corporation Drive,Cameron,James,37,Husband,Married,Male,Probation officer,None,None
3,Corporation Drive,Jeremy,James,0,Son,NA,Male,Child,None,NA
4,Corporation Drive,Linda,Allen,20,Head,Single,Female,University Student,None,Christian
4,Corporation Drive,Gavin,Payne,21,Partner,Single,Male,University Student,None,Christian
5,Corporation Drive,Deborah,Brown,74,Head,Married,Female,Retired Herpetologist,None,Methodist
5,Corporation Drive,Christian,Brown,75,Husband,Married,Male,Retired Heritage manager,None,None
6,Corporation Drive,Jodie,Gallagher,52,Head,Married,Female,Minerals surveyor,None,Pagan
6,Corporation Drive,Denis,Gallagher,53,Husband,Married,Male,Unemployed,None,Pagan
6,Corporation Drive,Louis,Gallagher,14,Son,NA,Male,Student,None,NA
7,Corporation Drive,Tony,Collins,28,Head,Married,Male,Hotel manager,None,Catholic
7,Corporation Drive,Diana,Collins,31,Wife,Married,Female,Theme park manager,None,Catholic
8,Corporation Drive,Dean,Hughes,22,Head,Single,Male,University Student,None,None
8,Corporation Drive,Marian,Cook,19,Partner,Single,Female,University Student,None,None
9,Corporation Drive,Catherine,Fowler,47,Head,Married,Female,Unemployed,None,Christian
9,Corporation Drive,Ronald,Fowler,54,Husband,Married,Male,Unemployed,None,Christian
9,Corporation Drive,Steven,Fowler,10,Son,NA,Male,Student,None,NA
9,Corporation Drive,Amanda,Fowler,5,Daughter,NA,Female,Student,None,NA
9,Corporation Drive,Ricky,Fowler,1,Son,NA,Male,Child,None,NA
10,Corporation Drive,Bethany,Martin,42,Head,Single,Female,Cartographer,None,Christian
10,Corporation Drive,Linda,Stewart,43,None,Divorced,Female,Archivist,None,Catholic
10,Corporation Drive,Anne,Jones,29,None,Single,Female,Customer service manager,None,Sikh
11,Corporation Drive,Leah,Hunter,33,Head,Divorced,Female,Unemployed,None,None
11,Corporation Drive,Leanne,Hunter,9,Daughter,NA,Female,Student,None,NA
12,Corporation Drive,Hazel,Cooke,50,Head,Single,Female,Manufacturing systems engineer,None,Christian
12,Corporation Drive,Joshua,Cooke,12,Son,NA,Male,Student,None,NA
13,Corporation Drive,Annette,Bolton,45,Head,Married,Female,Museum/gallery curator,None,None
13,Corporation Drive,Ross,Bolton,47,Husband,Married,Male,Games developer,None,None
13,Corporation Drive,Marcus,Bolton,10,Son,NA,Male,Student,None,NA
13,Corporation Drive,Nicola,Bolton,10,Daughter,NA,Female,Student,None,NA
13,Corporation Drive,Ann,Bolton,9,Daughter,NA,Female,Student,None,NA
14,Corporation Drive,Melanie,Brown,41,Head,Married,Female,"Therapist, occupational",None,None
14,Corporation Drive,Lawrence,Brown,41,Husband,Married,Male,Paediatric nurse,None,None
14,Corporation Drive,Jonathan,Brown,14,Son,NA,Male,Student,None,NA
14,Corporation Drive,Kerry,Brown,11,Daughter,NA,Female,Student,None,NA
15,Corporation Drive,Geraldine,Gibson,26,Head,Married,Female,Government social research officer,None,Christian
15,Corporation Drive,Russell,Gibson,27,Husband,Married,Male,Tourism officer,None,None
15,Corporation Drive,Danielle,Gibson,1,Daughter,NA,Female,Child,None,NA
16,Corporation Drive,Alison,Heath,37,Head,Single,Female,"Development worker, community",None,Christian
16,Corporation Drive,Julian,Heath,2,Step-Son,NA,Male,Child,None,NA
16,Corporation Drive,Mandy,Robinson,53,Lodger,Single,Female,Travel agency manager,None,Christian
16,Corporation Drive,Carly,Watkins,30,Lodger,Single,Female,Unemployed,None,Muslim
16,Corporation Drive,Leah,Sutton,33,Lodger,Single,Female,Garment/textile technologist,None,None
17,Corporation Drive,Charlotte,Ward,63,Head,Married,Female,Clinical research associate,None,Catholic
17,Corporation Drive,Joel,Ward,62,Husband,Married,Male,"Administrator, education",None,Catholic
17,Corporation Drive,Rebecca,Ward,28,Daughter,Single,Female,Dentist,None,None
18,Corporation Drive,Hilary,Grant,69,Head,Widowed,Female,Retired Oceanographer,None,Christian
18,Corporation Drive,Aimee,Grant,23,Granddaughter,Single,Female,Bonds trader,None,Christian
18,Corporation Drive,Nicola,Grant,21,Granddaughter,Divorced,Female,Manufacturing systems engineer,None,None
18,Corporation Drive,Mohammed,Nicholls-Grant,16,Grandson,NA,Male,Student,None,NA
19,Corporation Drive,Duncan,Davies,39,Head,Married,Male,Toxicologist,None,None
19,Corporation Drive,Stephanie,Davies,40,Wife,Married,Female,Environmental education officer,None,None
20,Corporation Drive,Mohamed,Thorpe,55,Head,Married,Male,Unemployed,None,Christian
20,Corporation Drive,Jessica,Thorpe,49,Wife,Married,Female,Science writer,None,Christian
21,Corporation Drive,Kathryn,Clayton,24,Head,Single,Female,Water engineer,None,Catholic
21,Corporation Drive,Matthew,Shaw,20,Partner,Single,Male,University Student,None,Catholic
22,Corporation Drive,Terence,Hall,37,Head,Single,Male,Trade mark attorney,None,Catholic
22,Corporation Drive,Andrew,Middleton,58,None,Single,Male,Stage manager,None,Christian
22,Corporation Drive,Ben,Jones,52,None,Single,Male,Public affairs consultant,None,Christian
23,Corporation Drive,Leanne,Cole,37,Head,Married,Female,Hotel manager,None,Catholic
23,Corporation Drive,Toby,Cole,43,Husband,Married,Male,Lawyer,None,Catholic
23,Corporation Drive,Jessica,Cole,9,Daughter,NA,Female,Student,None,NA
23,Corporation Drive,Gemma,Cole,8,Daughter,NA,Female,Student,None,NA
23,Corporation Drive,Rachael,Cole,6,Daughter,NA,Female,Student,None,NA
24,Corporation Drive,Tracy,Jones,23,Head,Single,Female,Landscape architect,None,Jewish
24,Corporation Drive,Christopher,Singh,25,Partner,Single,Male,"Programmer, systems",None,None
25,Corporation Drive,Molly,Smith,29,Head,Single,Female,"Scientist, product/process development",None,Catholic
25,Corporation Drive,Samuel,Middleton,32,Partner,Single,Male,Radio producer,None,Catholic
25,Corporation Drive,Julian,Blake,5,Son,NA,Male,Student,None,NA
26,Corporation Drive,Frances,Hall,66,Head,Widowed,Female,"Surveyor, rural practice",None,Christian
26,Corporation Drive,Kerry,Hall,15,Granddaughter,NA,Female,Student,None,NA
27,Corporation Drive,Lorraine,Hudson,65,Head,Married,Female,"Accountant, chartered",None,Catholic
27,Corporation Drive,Leslie,Hudson,72,Husband,Married,Male,Retired Social worker,None,Catholic
27,Corporation Drive,Abdul,Hudson,34,Son,Divorced,Male,"Programmer, multimedia",None,None
27,Corporation Drive,Elaine,Hudson,33,Daughter,Single,Female,"Scientist, physiological",None,Catholic
27,Corporation Drive,Charles,Hudson,32,Son,Divorced,Male,Passenger transport manager,None,None
28,Corporation Drive,Elaine,Bryant,69,Head,Married,Female,Retired Wellsite geologist,None,None
28,Corporation Drive,Leslie,Bryant,68,Husband,Married,Male,Retired Tourist information centre manager,None,None
29,Corporation Drive,Abbie,Jenkins,50,Head,Divorced,Female,Conference centre manager,None,None
30,Corporation Drive,Sandra,Leach,31,Head,Single,Female,Unemployed,None,Christian
30,Corporation Drive,Leslie,Leach,2,Son,NA,Male,Child,None,NA
31,Corporation Drive,Sheila,Holloway,37,Head,Single,Female,Unemployed,None,None
31,Corporation Drive,Josephine,Holloway,11,Daughter,NA,Female,Student,None,NA
31,Corporation Drive,Edward,Holloway,8,Son,NA,Male,Student,None,NA
1,Skylock Islands,Charlotte,Carter,21,Head,Single,Female,University Student,None,Methodist
2,Skylock Islands,Samantha,O'Brien,30,Head,Single,Female,Geochemist,None,None
3,Skylock Islands,Dominic,Harris,101,Head,Married,Male,Retired Location manager,None,None
3,Skylock Islands,Jemma,Harris,97,Wife,Married,Female,"Retired Engineer, petroleum",None,None
4,Skylock Islands,Lauren,Thomson,104,Head,Married,Female,"Retired Editor, magazine features",None,Catholic
4,Skylock Islands,Mohamed,Thomson,102,Husband,Married,Male,Retired Actor,None,Catholic
5,Skylock Islands,Kyle,Smith,40,Head,Married,Male,"Solicitor, Scotland",None,Catholic
5,Skylock Islands,Leah,Smith,38,Wife,Married,Female,Chief Technology Officer,None,None
6,Skylock Islands,Alice,Bates,24,Head,Married,Female,Advertising account executive,None,Muslim
6,Skylock Islands,Gregory,Bates,24,Husband,Married,Male,"Administrator, Civil Service",None,Muslim
7,Skylock Islands,Jill,Harris,39,Head,Married,Female,"Doctor, hospital",None,Christian
7,Skylock Islands,Jeffrey,Harris,38,Husband,Married,Male,Quality manager,None,Christian
7,Skylock Islands,Scott,Harris,12,Son,NA,Male,Student,None,NA
8,Skylock Islands,Jill,Sheppard,46,Head,Married,Female,"Doctor, general practice",None,Christian
8,Skylock Islands,Jay,Sheppard,49,Husband,Married,Male,Unemployed,None,Christian
8,Skylock Islands,Amber,Sheppard,22,Daughter,Single,Female,University Student,None,Christian
8,Skylock Islands,Harriet,Sheppard,20,Daughter,Single,Female,University Student,None,None
8,Skylock Islands,Marian,Sheppard,18,Daughter,Single,Female,Student,None,Christian
9,Skylock Islands,Kimberley,Bird,57,Head,Married,Female,"Engineer, petroleum",None,Christian
9,Skylock Islands,Mathew,Bird,61,Husband,Married,Male,Hydrogeologist,None,Christian
10,Skylock Islands,Ashleigh,Davies,63,Head,Divorced,Female,Field seismologist,Deaf,Christian
11,Skylock Islands,Danny,Lambert,58,Head,Divorced,Male,Museum/gallery conservator,None,Christian
11,Skylock Islands,Janet,Townsend,9,Granddaughter,NA,Female,Student,None,NA
12,Skylock Islands,Lynda,Oliver,72,Head,Widowed,Female,Retired Drilling engineer,None,None
13,Skylock Islands,Kate,Scott,56,Head,Married,Female,Town planner,None,None
13,Skylock Islands,Gregory,Scott,59,Husband,Married,Male,Insurance broker,None,None
13,Skylock Islands,Dylan,Scott,23,Son,Single,Male,"Teacher, primary school",None,None
13,Skylock Islands,Lydia,Scott,7,Daughter,NA,Female,Student,None,NA
14,Skylock Islands,Dean,Wright,79,Head,Single,Male,Retired Brewing technologist,None,Christian
15,Skylock Islands,Jenna,Bailey,36,Head,Single,Female,Mudlogger,None,None
15,Skylock Islands,Karen,Lewis,22,None,Single,Female,Chartered management accountant,None,Christian
15,Skylock Islands,Denis,Brown,59,None,Single,Male,Armed forces training and education officer,None,Methodist
16,Skylock Islands,Samuel,Mills,62,Head,Single,Male,IT trainer,None,Christian
17,Skylock Islands,Wendy,Cook,28,Head,Married,Female,Ophthalmologist,None,Christian
17,Skylock Islands,Reece,Cook,30,Husband,Married,Male,Information officer,None,None
17,Skylock Islands,Rebecca,Cook,0,Daughter,NA,Female,Child,None,NA
17,Skylock Islands,Gail,Knight,19,Sibling,Single,Female,University Student,None,Muslim
17,Skylock Islands,Colin,Stevens,26,Visitor,Single,Male,General practice doctor,None,None
18,Skylock Islands,Wendy,Cox,67,Head,Widowed,Female,Unemployed,None,Christian
18,Skylock Islands,Nicholas,Cox,32,Son,Single,Male,Catering manager,None,Christian
19,Skylock Islands,Samantha,Howard,23,Head,Divorced,Female,Financial controller,None,None
19,Skylock Islands,Duncan,Howard,6,Son,NA,Male,Student,None,NA
19,Skylock Islands,Hannah,Howard,2,Daughter,NA,Female,Child,None,NA
19,Skylock Islands,Owen,Howard,2,Son,NA,Male,Child,None,NA
19,Skylock Islands,Maurice,Howard,0,Son,NA,Male,Child,None,NA
20,Skylock Islands,Kerry,Bailey,30,Head,Widowed,Female,"Runner, broadcasting/film/video",None,Catholic
20,Skylock Islands,Lisa,Bailey,13,Daughter,NA,Female,Student,None,NA
1,Wales Avenue,Diana,Powell,46,Head,Married,Female,Pensions consultant,None,Jewish
1,Wales Avenue,Jamie,Powell,48,Husband,Married,Male,Unemployed,None,Jewish
1,Wales Avenue,Claire,Davies,8,Daughter,NA,Female,Student,None,NA
2,Wales Avenue,Louise,Boyle,18,Head,Single,Female,University Student,None,Methodist
2,Wales Avenue,Stuart,Lee,18,None,Single,Male,University Student,None,None
2,Wales Avenue,Samuel,Smith,22,None,Single,Male,University Student,None,Sikh
3,Wales Avenue,Albert,Thompson,23,Head,Divorced,Male,Animal nutritionist,None,Catholic
4,Wales Avenue,Robert,Rogers,46,Head,Single,Male,Clinical cytogeneticist,None,Catholic
5,Wales Avenue,Kirsty,Thompson,22,Head,Divorced,Female,Unemployed,None,Catholic
5,Wales Avenue,Lorraine,Howell,46,Lodger,Single,Female,Civil Service fast streamer,None,None
6,Wales Avenue,Hayley,Wilkins,78,Head,Widowed,Female,Retired Radio broadcast assistant,None,Methodist
7,Wales Avenue,Paul,Johnson,40,Head,Single,Male,Water quality scientist,None,None
8,Wales Avenue,Gavin,Smith,62,Head,Single,Male,"Education officer, environmental",None,Christian
9,Wales Avenue,Jay,Webb,49,Head,Widowed,Male,Unemployed,None,Muslim
10,Wales Avenue,Nicola,Baker,34,Head,Single,Female,Curator,None,None
11,Wales Avenue,Jason,Lewis,74,Head,Divorced,Male,Retired Animal technologist,None,None
12,Wales Avenue,Anna,Farrell,37,Head,Divorced,Female,Community arts worker,None,None
12,Wales Avenue,Graeme,Farrell,1,Adopted Son,NA,Male,Child,None,NA
13,Wales Avenue,Rachael,Birch,44,Head,Single,Female,Occupational psychologist,None,None
14,Wales Avenue,Cheryl,Vaughan,65,Head,Widowed,Female,Unemployed,None,None
14,Wales Avenue,Glenn,Vaughan,35,Son,Single,Male,Clinical molecular geneticist,None,None
1,Godfrey Lane,Marian,Ball,33,Head,Married,Female,Stage manager,None,None
1,Godfrey Lane,Kenneth,Ball,34,Husband,Married,Male,Clothing/textile technologist,None,None
1,Godfrey Lane,Lynda,Ball,4,Daughter,NA,Female,Child,None,NA
2,Godfrey Lane,Rita,Lord,43,Head,Single,Female,Health promotion specialist,None,Methodist
2,Godfrey Lane,Catherine,Lord,14,Daughter,NA,Female,Student,None,NA
2,Godfrey Lane,Paul,Lord,12,Son,NA,Male,Student,None,NA
2,Godfrey Lane,Melissa,Lord,8,Daughter,NA,Female,Student,None,NA
3,Godfrey Lane,Debra,Elliott,52,Head,Married,Female,Chief Technology Officer,None,None
3,Godfrey Lane,Danny,Elliott,57,Husband,Married,Male,Volunteer coordinator,None,None
3,Godfrey Lane,Francis,Elliott,11,Son,NA,Male,Student,None,NA
3,Godfrey Lane,Katherine,Elliott,7,Daughter,NA,Female,Student,None,NA
4,Godfrey Lane,Marie,Brown,55,Head,Married,Female,Stage manager,None,Christian
4,Godfrey Lane,Gregory,Brown,53,Husband,Married,Male,Unemployed,None,Christian
4,Godfrey Lane,Gordon,Brown,24,Son,Single,Male,"Designer, fashion/clothing",None,None
4,Godfrey Lane,Leon,Brown,15,Son,NA,Male,Student,None,NA
5,Godfrey Lane,Christine,Richardson,77,Head,Married,Female,"Retired Surveyor, hydrographic",None,Christian
5,Godfrey Lane,Rhys,Richardson,79,Husband,Married,Male,"Retired Development worker, community",None,Christian
5,Godfrey Lane,Antony,Richardson,42,Son,Single,Male,Scientific laboratory technician,None,Christian
5,Godfrey Lane,Kathleen,Richardson,42,Daughter,Single,Female,"Chemist, analytical",None,Christian
6,Godfrey Lane,Michelle,Frost,44,Head,Single,Female,Unemployed,None,None
6,Godfrey Lane,Joseph,Frost,9,Son,NA,Male,Student,None,NA
7,Godfrey Lane,Gillian,Marshall,26,Head,Married,Female,Historic buildings inspector/conservation officer,None,None
7,Godfrey Lane,Clive,Marshall,26,Husband,Married,Male,English as a second language teacher,None,None
7,Godfrey Lane,Caroline,Marshall,9,Daughter,NA,Female,Student,None,NA
7,Godfrey Lane,Scott,Marshall,9,Son,NA,Male,Student,None,NA
8,Godfrey Lane,Denise,Bruce,45,Head,Single,Female,Midwife,Physical Disability,Christian
8,Godfrey Lane,Pauline,Bruce,14,Daughter,NA,Female,Student,None,NA
8,Godfrey Lane,Paul,Bruce,11,Son,NA,Male,Student,None,NA
8,Godfrey Lane,Elliott,Bruce,6,Son,NA,Male,Student,None,NA
8,Godfrey Lane,Sian,Bruce,3,Daughter,NA,Female,Child,None,NA
9,Godfrey Lane,Natasha,Howe,38,Head,Married,Female,Transport planner,None,Methodist
9,Godfrey Lane,Josh,Howe,40,Husband,Married,Male,Educational psychologist,None,Methodist
9,Godfrey Lane,Wayne,Howe,6,Son,NA,Male,Student,None,NA
10,Godfrey Lane,Natalie,Barlow,43,Head,Single,Female,Haematologist,None,Methodist
11,Godfrey Lane,Patricia,Holden,37,Head,Married,Female,Learning mentor,None,None
11,Godfrey Lane,Russell,Holden,37,Husband,Married,Male,Advice worker,None,None
11,Godfrey Lane,Aaron,Holden,8,Son,NA,Male,Student,None,NA
11,Godfrey Lane,Jessica,Holden,7,Daughter,NA,Female,Student,None,NA
12,Godfrey Lane,Lynn,Lambert,45,Head,Single,Female,Marketing executive,None,Catholic
12,Godfrey Lane,Mary,Lambert,21,Daughter,Single,Female,University Student,None,Catholic
12,Godfrey Lane,Leon,Lambert,18,Son,Single,Male,Student,None,Catholic
12,Godfrey Lane,Victor,Lambert,15,Son,NA,Male,Student,None,NA
13,Godfrey Lane,Brett,Bibi,42,Head,Married,Male,"Conservator, museum/gallery",None,Jewish
13,Godfrey Lane,Molly,Bibi,35,Wife,Married,Female,Tax inspector,None,None
13,Godfrey Lane,Antony,Bibi,6,Son,NA,Male,Student,None,NA
13,Godfrey Lane,Billy,Bibi,5,Son,NA,Male,Student,None,NA
14,Godfrey Lane,Shaun,Harris,40,Head,Married,Male,Corporate investment banker,None,Christian
14,Godfrey Lane,Jacqueline,Harris,36,Wife,Married,Female,"Engineer, electronics",None,Christian
14,Godfrey Lane,Tom,Harris,8,Son,NA,Male,Student,None,NA
14,Godfrey Lane,Colin,Harris,5,Son,NA,Male,Student,None,NA
15,Godfrey Lane,Joshua,Kaur,37,Head,Married,Male,Air broker,None,Methodist
15,Godfrey Lane,Laura,Kaur,29,Wife,Married,Female,Barista,None,Methodist
15,Godfrey Lane,Hazel,Kaur,14,Step-Daughter,NA,Female,Student,None,NA
15,Godfrey Lane,Susan,McDonald,10,Step-Daughter,NA,Female,Student,None,NA
16,Godfrey Lane,Marilyn,Morley,40,Head,Single,Female,"Scientist, physiological",None,None
16,Godfrey Lane,Holly,Morley,14,Daughter,NA,Female,Student,None,NA
16,Godfrey Lane,Ben,Morley,13,Son,NA,Male,Student,None,NA
16,Godfrey Lane,Terence,Morley,11,Son,NA,Male,Student,None,NA
17,Godfrey Lane,Mary,Mason,45,Head,Single,Female,Gaffer,None,Christian
17,Godfrey Lane,Brenda,Mason,20,Daughter,Single,Female,University Student,None,Christian
17,Godfrey Lane,Deborah,Mason,17,Daughter,NA,Female,Student,None,NA
17,Godfrey Lane,Megan,Mason,15,Daughter,NA,Female,Student,None,NA
17,Godfrey Lane,Guy,Mason,11,Son,NA,Male,Student,None,NA
17,Godfrey Lane,Lindsey,Mason,7,Daughter,NA,Female,Student,None,NA
18,Godfrey Lane,Debra,Smith,41,Head,Divorced,Female,Trading standards officer,None,Christian
19,Godfrey Lane,Rachel,Hill,34,Head,Married,Female,Economist,None,Muslim
19,Godfrey Lane,Owen,Hill,39,Husband,Married,Male,Interior and spatial designer,None,Catholic
19,Godfrey Lane,Victoria,Hill,8,Daughter,NA,Female,Student,None,NA
19,Godfrey Lane,Denise,Hill,6,Daughter,NA,Female,Student,None,NA
19,Godfrey Lane,Vanessa,Hill,4,Daughter,NA,Female,Child,None,NA
19,Godfrey Lane,Hazel,Murphy,33,Sibling,Single,Female,Television production assistant,None,None
20,Godfrey Lane,Joyce,Turnbull,45,Head,Single,Female,"Surveyor, commercial/residential",None,None
